"Part Number","Tariff Code","Hazard/Dangerous Code","Dealer Net Price","Flat Fee","Large Tracks Charge","Regular Tracks Charge","Tires ATV Large Charge","Tires ATV Small Charge","Tires MC Charge","Wheels ATV Charge","Wheels MC Charge"
0100-2464,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2465,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2466,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2468,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2469,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2470,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2471,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2472,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2473,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2474,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2475,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2476,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2477,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2478,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2479,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2480,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2481,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2482,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2483,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2484,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2485,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2486,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2487,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2488,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2489,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2490,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2491,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2492,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2493,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2494,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
01-0025,8421.23.00.10,None,N,Y,N,N,N,N,N,N,N
0100-2505,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2521,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2522,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2523,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2524,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2525,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2526,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2527,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2528,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2529,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2530,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2531,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2532,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2533,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2534,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2535,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2536,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2541,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2542,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2563,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2564,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2565,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2566,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2567,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2568,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2569,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2570,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2574,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2575,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2576,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2577,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2578,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2580,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2581,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2582,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2583,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2584,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2585,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2586,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2587,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2588,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2593,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
